20241118-212932.259| -* logFile=logs/demo-cs4105.log
20241118-213812.005| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965892005:20241118-213812.004:advertisement:4105:search=false,download=false:
20241118-213812.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965892250:20241118-213812.250:advertisement:4105:search=false,download=false:
20241118-213813.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965893002:20241118-213813.002:advertisement:4105:search=false,download=false:
20241118-213813.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965893250:20241118-213813.250:advertisement:4105:search=false,download=false:
20241118-213814.003| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965894002:20241118-213814.002:advertisement:4105:search=false,download=false:
20241118-213814.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965894250:20241118-213814.250:advertisement:4105:search=false,download=false:
20241118-213815.003| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965895002:20241118-213815.002:advertisement:4105:search=false,download=false:
20241118-213815.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965895250:20241118-213815.250:advertisement:4105:search=false,download=false:
20241118-213816.003| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965896002:20241118-213816.002:advertisement:4105:search=false,download=false:
20241118-213816.252| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965896252:20241118-213816.252:advertisement:4105:search=false,download=false:
20241118-213817.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965897002:20241118-213817.002:advertisement:4105:search=false,download=false:
20241118-213817.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965897250:20241118-213817.250:advertisement:4105:search=false,download=false:
20241118-213818.005| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965898005:20241118-213818.005:advertisement:4105:search=false,download=false:
20241118-213818.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965898250:20241118-213818.250:advertisement:4105:search=false,download=false:
20241118-213819.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965899002:20241118-213819.002:advertisement:4105:search=false,download=false:
20241118-213819.194| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965899186:20241118-213819.186:search-request:text1:
20241118-213819.201| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965899200:20241118-213819.200:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965899186:root_dir/dir1/text1-1.txt:
20241118-213819.201| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965899201:20241118-213819.201:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965899186:root_dir/dir1/text1-2.txt:
20241118-213819.201| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965899201:20241118-213819.201:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965899186:root_dir/dir1/text1-3.txt:
20241118-213819.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965899250:20241118-213819.250:advertisement:4105:search=false,download=false:
20241118-213820.003| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965900002:20241118-213820.002:advertisement:4105:search=false,download=false:
20241118-213820.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965900250:20241118-213820.250:advertisement:4105:search=false,download=false:
20241118-213821.003| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965901002:20241118-213821.002:advertisement:4105:search=false,download=false:
20241118-213821.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965901250:20241118-213821.250:advertisement:4105:search=false,download=false:
20241118-213822.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965902002:20241118-213822.002:advertisement:4105:search=false,download=false:
20241118-213822.252| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965902252:20241118-213822.252:advertisement:4105:search=false,download=false:
20241118-213823.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965903002:20241118-213823.002:advertisement:4105:search=false,download=false:
20241118-213823.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965903250:20241118-213823.250:advertisement:4105:search=false,download=false:
20241118-213824.005| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965904005:20241118-213824.005:advertisement:4105:search=false,download=false:
20241118-213824.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965904250:20241118-213824.250:advertisement:4105:search=false,download=false:
20241118-213825.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965905002:20241118-213825.002:advertisement:4105:search=false,download=false:
20241118-213825.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965905250:20241118-213825.250:advertisement:4105:search=false,download=false:
20241118-213826.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965906002:20241118-213826.002:advertisement:4105:search=false,download=false:
20241118-213826.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965906250:20241118-213826.250:advertisement:4105:search=false,download=false:
20241118-213827.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965907002:20241118-213827.002:advertisement:4105:search=false,download=false:
20241118-213827.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965907250:20241118-213827.250:advertisement:4105:search=false,download=false:
20241118-213828.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965908002:20241118-213828.002:advertisement:4105:search=false,download=false:
20241118-213828.253| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965908252:20241118-213828.252:advertisement:4105:search=false,download=false:
20241118-213829.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965909002:20241118-213829.002:advertisement:4105:search=false,download=false:
20241118-213829.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965909250:20241118-213829.250:advertisement:4105:search=false,download=false:
20241118-213830.005| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965910004:20241118-213830.004:advertisement:4105:search=false,download=false:
20241118-213830.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965910250:20241118-213830.250:advertisement:4105:search=false,download=false:
20241118-213831.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965911002:20241118-213831.002:advertisement:4105:search=false,download=false:
20241118-213831.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965911250:20241118-213831.250:advertisement:4105:search=false,download=false:
20241118-213832.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965912002:20241118-213832.002:advertisement:4105:search=false,download=false:
20241118-213832.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965912250:20241118-213832.250:advertisement:4105:search=false,download=false:
20241118-213833.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965913002:20241118-213833.002:advertisement:4105:search=false,download=false:
20241118-213833.251| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965913250:20241118-213833.250:advertisement:4105:search=false,download=false:
20241118-213834.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965914002:20241118-213834.002:advertisement:4105:search=false,download=false:
20241118-213834.253| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965914252:20241118-213834.252:advertisement:4105:search=false,download=false:
20241118-213835.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965915002:20241118-213835.002:advertisement:4105:search=false,download=false:
20241118-213836.006| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965916005:20241118-213836.005:advertisement:4105:search=false,download=false:
20241118-213837.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965917002:20241118-213837.002:advertisement:4105:search=false,download=false:
20241118-213838.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965918002:20241118-213838.002:advertisement:4105:search=false,download=false:
20241118-213839.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965919002:20241118-213839.002:advertisement:4105:search=false,download=false:
20241118-213840.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965920002:20241118-213840.002:advertisement:4105:search=false,download=false:
20241118-213841.002| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965921002:20241118-213841.002:advertisement:4105:search=false,download=false:
20241118-213924.681| -* logFile=logs/demo-cs4105.log
20241118-213924.682| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241118-213924.682| -* rootDir=root_dir
20241118-213924.682| -* mAddr6=ff02::4105:4105
20241118-213924.684| -* mPort=4105
20241118-213924.684| -* mTTL=2
20241118-213924.686| -* loopback=true
20241118-213924.688| -* reuseAddr=false
20241118-213924.690| -* soTimeout=10
20241118-213924.692| -* sleepTime=1000
20241118-213924.694| -* maximumMessageSize=1400
20241118-213924.697| -* maximumAdvertisementPeriod=1000
20241118-213924.700| -* search=false
20241118-213924.702| -* download=false
20241118-213924.722| using interface enp3s0
20241118-213924.724| Multicast Endpoint Created : ff02::4105:4105:4105
20241118-213924.725| joined IPv6 multicast group /[ff02:0:0:0:0:0:4105:4105]:4105
20241118-213924.726| Joined Multicast Group : null
20241118-213924.742| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965964733:20241118-213924.733:advertisement:4105:search=false,download=false:
20241118-213925.733| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965965733:20241118-213925.733:advertisement:4105:search=false,download=false:
20241118-213926.320| -* logFile=logs/demo-cs4105.log
20241118-213926.321| -* id=jz75@pc7-005-l.cs.st-andrews.ac.uk
20241118-213926.321| -* rootDir=root_dir
20241118-213926.321| -* mAddr6=ff02::4105:4105
20241118-213926.323| -* mPort=4105
20241118-213926.323| -* mTTL=2
20241118-213926.323| -* loopback=true
20241118-213926.323| -* reuseAddr=false
20241118-213926.324| -* soTimeout=10
20241118-213926.324| -* sleepTime=1000
20241118-213926.324| -* maximumMessageSize=1400
20241118-213926.324| -* maximumAdvertisementPeriod=1000
20241118-213926.325| -* search=false
20241118-213926.325| -* download=false
20241118-213926.348| using interface enp3s0
20241118-213926.350| Multicast Endpoint Created : ff02::4105:4105:4105
20241118-213926.350| joined IPv6 multicast group /[ff02:0:0:0:0:0:4105:4105]:4105
20241118-213926.350| Joined Multicast Group : null
20241118-213926.366| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965966357:20241118-213926.357:advertisement:4105:search=false,download=false:
20241118-213926.735| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965966733:20241118-213926.733:advertisement:4105:search=false,download=false:
20241118-213927.358| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965967358:20241118-213927.358:advertisement:4105:search=false,download=false:
20241118-213927.734| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965967733:20241118-213927.733:advertisement:4105:search=false,download=false:
20241118-213928.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965968357:20241118-213928.357:advertisement:4105:search=false,download=false:
20241118-213928.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965968733:20241118-213928.733:advertisement:4105:search=false,download=false:
20241118-213929.358| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965969357:20241118-213929.357:advertisement:4105:search=false,download=false:
20241118-213929.735| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965969735:20241118-213929.735:advertisement:4105:search=false,download=false:
20241118-213930.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965970357:20241118-213930.357:advertisement:4105:search=false,download=false:
20241118-213930.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965970733:20241118-213930.733:advertisement:4105:search=false,download=false:
20241118-213931.359| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965971359:20241118-213931.359:advertisement:4105:search=false,download=false:
20241118-213931.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965971733:20241118-213931.733:advertisement:4105:search=false,download=false:
20241118-213932.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965972357:20241118-213932.357:advertisement:4105:search=false,download=false:
20241118-213932.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965972733:20241118-213932.733:advertisement:4105:search=false,download=false:
20241118-213933.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965973357:20241118-213933.357:advertisement:4105:search=false,download=false:
20241118-213933.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965973733:20241118-213933.733:advertisement:4105:search=false,download=false:
20241118-213934.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965974357:20241118-213934.357:advertisement:4105:search=false,download=false:
20241118-213934.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965974733:20241118-213934.733:advertisement:4105:search=false,download=false:
20241118-213935.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965975357:20241118-213935.357:advertisement:4105:search=false,download=false:
20241118-213935.734| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965975734:20241118-213935.734:advertisement:4105:search=false,download=false:
20241118-213936.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965976357:20241118-213936.357:advertisement:4105:search=false,download=false:
20241118-213936.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965976733:20241118-213936.733:advertisement:4105:search=false,download=false:
20241118-213937.117| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965977110:20241118-213937.110:search-request:text1:
20241118-213937.129| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965977129:20241118-213937.129:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965977110:root_dir/dir1/text1-1.txt:
20241118-213937.129| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965977129:20241118-213937.129:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965977110:root_dir/dir1/text1-2.txt:
20241118-213937.130| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965977130:20241118-213937.130:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965977110:root_dir/dir1/text1-3.txt:
20241118-213937.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965977357:20241118-213937.357:advertisement:4105:search=false,download=false:
20241118-213937.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965977733:20241118-213937.733:advertisement:4105:search=false,download=false:
20241118-213938.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965978357:20241118-213938.357:advertisement:4105:search=false,download=false:
20241118-213938.734| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965978733:20241118-213938.733:advertisement:4105:search=false,download=false:
20241118-213939.358| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965979358:20241118-213939.358:advertisement:4105:search=false,download=false:
20241118-213939.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965979733:20241118-213939.733:advertisement:4105:search=false,download=false:
20241118-213940.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965980357:20241118-213940.357:advertisement:4105:search=false,download=false:
20241118-213940.733| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965980733:20241118-213940.733:advertisement:4105:search=false,download=false:
20241118-213941.357| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965981357:20241118-213941.357:advertisement:4105:search=false,download=false:
20241118-213941.734| rx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965981734:20241118-213941.734:advertisement:4105:search=false,download=false:
